#
#,,寸法型式
#,,,断面呼称(12s)　ｻｲｽﾞ(bxh) SK & HK & GN usingflag
#,,,根太(n);スタッド(s);柱(p);梁(h);トラス(t);マグサ(m);合板(g);マグサ受(u);土台(o)
#,,,金物(k):小屋 (y):床 (b):壁 (a):基礎( );ホールダウン金物(d);垂木(r)
#,,,スクリューネイル(e);壁パッキン合板(f)
#,,,スクリューネイル線分(l) ;DSPSN
#,,,壁厚(204|206)(w)固定(c)束(t)建具(x)
#
#,No,寸法型式,部材幅,芯ずれ,部材高さ,使用部位,寸法型式(W)
,1,無し,0,,0,,無し
,2,102,15,,45,,102
,3,104,18,,89,,104
,4,106,18,,140,,106
#,5
,6,202,38,,38,    h          r ,202
,7,203,38,,70,    h          r ,203
,8,204,38,,89, ns    uo      r ,204
,9,206,38,,140, ns    uo      r ,206
,10,208,38,,184, n             r ,208
,11,210,38,,235, n             r ,210
,12,212,38,,286, n             r ,212
#,13
,14,402,89,,38,,402
,15,404,89,,89, nsp  mu         ,404
,16,406,89,,140, nsph mu         ,406
,17,408,89,,184, n  h m,408
,18,410,89,,235, n  h m,410
,19,411,89,,279,      m    ,411
,20,412,89,,286,    h m      ,412
,21,414,89,,336,    h m      ,414
#,22
,23,602,89,,38,,602
,24,604,140,,89, n  h m         r,604
,25,606,140,,140,   ph m     ,606
,26,608,140,,184,    h m  ,608
,27,610,140,,235,    h m    ,610
,28,611,140,,235,      m    ,611
,29,612,140,,286,    h m   ,612
,30,614,140,,336,    h m    ,614
#,31
,32,36x45,36,,45,    h          r ,36x45
,33,95x89,95,,89,    h          r ,95x89
,34,130x89,130,,89,    h          r ,130x89
,35,140x89,140,,89,    h          r ,140x89
,36,114x105,114,,105,    h          r ,114x105
,37,114x125,114,,125,    h          r ,114x125
,38,204+P12,50,,89,,204+P12
,39,206+P12,50,,140,,206+P12
#,40
,41,202H,38,,38, ns    u       r ,202H
,42,204H,38,,89, ns    u       r ,204H
,43,206H,38,,140, ns    u       r ,206H
,44,208H,38,,184, n             r ,208H
,45,210H,38,,235, n             r ,210H
,46,212H,38,,286, n             r ,212H
,47,404H,89,,89, n p   u         ,404H
,48,406H,89,,140, n ph  u         ,406H
,49,204H+P12,50,,89,                 ,204H+P12
,50,206H+P12,50,,140,                 ,206H+P12
#,51
,52,204G,40,,90, n               ,204G
,53,206G,40,,143, n               ,206G
,54,208G,40,,190, n               ,208G
,55,210G,40,,241, n               ,210G
,56,212G,40,,292, n               ,212G
,57,304G,65,,90,        o,304G
,58,404G,90,,90, nsp    o      r ,404G
,59,406G,90,,143, nsp    o        ,406G
,60,204G平,89,,38, ns     o        ,204G平
,61,204G平,90,,40, ns     o        ,204G平
,62,206G平,143,,90, ns     o        ,206G平
,63,204G+P12,52,,90,                 ,204G+P12
,64,206G+P12,52,,143,                 ,206G+P12
#,65
,66,204平,89,,38,  s   m  ,204平
,67,206平,140,,38,  s   m  ,206平
,68,2-204,76,,89, nsph m        r ,2-204
,69,2-206,76,,140, nsph m        r ,2-206
,70,2-208,76,,184, n  h m        r ,2-208
,71,2-210,76,,235, n  h m        r ,2-210
,72,2-212,76,,286, n  h m        r ,2-212
#,73
,74,3-204,114,,89, nsph m        r ,3-204
,75,3-206,114,,140, nsph m        r ,3-206
,76,3-208,114,,184, n  h m        r ,3-208
,77,3-210,114,,235, n  h m        r ,3-210
,78,3-212,114,,286, n  h m        r ,3-212
#,79
,80,4-204,152,,89, nsph m        r ,4-204
,81,4-206,152,,140, nsph m        r ,4-206
,82,4-208,152,,184, n  h          r ,4-208
,83,4-210 ,152,,235, n  h          r ,4-210 
,84,4-212,152,,286, n  h          r ,4-212
#,85
,86,5-204,190,,89,  s   m        r ,5-204
,87,5-206,190,,140,  s   m        r ,5-206
#,88
,89,2-204H,76,,89, nsph m        r ,2-204H
,90,2-206H,76,,140, nsph m        r ,2-206H
,91,2-208H,76,,184, n  h m        r ,2-208H
,92,2-210H,76,,235, n  h m        r ,2-210H
,93,2-212H,76,,286, n  h m        r ,2-212H
#,94
,95,3-204H,114,,89, nsph m        r ,3-204H
,96,3-206H,114,,140, nsph m        r ,3-206H
,97,3-208H,114,,184, n  h m        r ,3-208H
,98,3-210H,114,,235, n  h m        r ,3-210H
,99,3-212H,114,,286, n  h m        r ,3-212H
#,100
,101,4-204H,152,,89,  ,4-204H
,102,4-206H,152,,140,  ,4-206H
,103,4-208H,152,,184,  ,4-208H
,104,4-210H,152,,235, n  h ,4-210H
,105,4-212H,152,,286, n  h ,4-212H
#,106
,107,5-204H,190,,89,  s   m ,5-204H
,108,5-206H,190,,140,  s   m ,5-206H
#,109
,110,2-204G,80,,90,  s  ,2-204G
,111,2-206G,80,,143,  s  ,2-206G
#,112
,113,3-204G,120,,90,  s  ,3-204G
,114,3-206G,120,,143,  s  ,3-206G
#,115
,116,4-204G,160,,90,  s  ,4-204G
,117,4-206G,160,,143,  s  ,4-206G
#,118
,119,5-204G,200,,90,  s  ,5-204G
,120,5-206G,200,,143,  s  ,5-206G
#,121,トラス,,,,,トラス
#,122,標準,,,,,標準
,123,T38,38,,89,     t ,T38
,124,T42,42,,89,     t ,T42
,125,T76,76,,89,     t ,T76
,126,T84,84,,89,     t ,T84
,127,T114,114,,89,     t ,T114
,128,T126,126,,89,     t ,T126
,129,T168,168,,89,     t ,T168
#,130,ガータ,,,,,ガータ
,131,G38,38,,89,     t ,G38
,132,G42,42,,89,     t ,G42
,133,G76,76,,89,     t ,G76
,134,G84,84,,89,     t ,G84
,135,G114,114,,89,     t ,G114
,136,G126,126,,89,     t ,G126
,137,G168,168,,89,     t ,G168
#,138,台形,,,,,台形
,139,D38,38,,89,     t ,D38
,140,D42,42,,89,     t ,D42
,141,D76,76,,89,     t ,D76
,142,D84,84,,89,     t ,D84
,143,D114,114,,89,     t ,D114
,144,D126,126,,89,     t ,D126
,145,D168,168,,89,     t ,D168
#,146,ゲーブル,,,,,ゲーブル
,147,T89,89,,89,     t ,T89
,148,T140,140,,89,     t ,T140
,149,BUP76,76,,89,     t ,BUP76
,150,BUP89,89,,89,     t ,BUP89
,151,KW38,38,,89,     t ,KW38
,152,KW42,42,,89,     t ,KW42
,153,T84,84,,89,     t ,T84
,154,T126,126,,89,     t ,T126
#,155,バレートラス,,,,,バレートラス
,156,V42,42,,89,     t ,V42
#,157,合板,,,,,合板
,158,GH224,606,,7280,         g ,GH224
,159,GH306,910,,1820,         g ,GH306
,160,GH308,910,,2430,         g ,GH308
,161,GH309,910,,2730,         g ,GH309
,162,GH310,910,,2750,         g ,GH310
,163,GH324,910,,7280,         g ,GH324
,164,GH406,1220,,1820,         g ,GH406
,165,GH408,1220,,2440,         g ,GH408
,166,GH424,1220,,7280,         g ,GH424
,167,GH624,1820,,7280,         g ,GH624
#,168,端合板,,,,,端合板
,169,KP3,3,,89,                 f ,KP3
,170,KP6,6,,89,                 f ,KP6
,171,KP9_5,9.5,,89,                 f ,KP9_5
,172,KP12,12,,89,                 f ,KP12
,173,KP15,15,,89,                 f ,KP15
,174,YP6,6,,223, n                 ,YP6
,175,YP9,9,,223, n                 ,YP9
,176,YP9_5,9.5,,223, n                 ,YP9_5
,177,YP12,13,,223, n                 ,YP12
,178,YP15,15,,223, n                 ,YP15
#,179,金物,,,,,金物
,180,CPM,30,,19,              d ,CPM
,181,LC25,30,,19,              d ,LC25
,182,S45,    ,,    ,          ky   ,S45
,183,2S45,    ,,    ,          ky   ,2S45
,184,S65,    ,,    ,          kyb  ,S65
,185,2S65,    ,,    ,          kyb  ,2S65
,186,S90,    ,,    ,          ky   ,S90
,187,S2S90,    ,,    ,          ky   ,S2S90
,188,SW67,    ,,    ,          k b  ,SW67
,189,SA65, ,,,,SA65
,190,TS,    ,,    ,          k    ,TS
,191,TS-R,0,,0,          k    ,TS-R
,192,TW23,  ,,,,TW23
,193,TW30,    ,,    ,          k    ,TW30
,194,TWP,0,,0,          k    ,TWP
,195,GT,    ,,    ,          k    ,GT
,196,GT-R,    ,,    ,          k    ,GT-R
,197,GTP-R,    ,,    ,          k    ,GTP-R
,198,JHS204,38,,89,          ky   ,JHS204
,199,JHS206,38,,89,          ky   ,JHS206
,200,2JHS206,76,,89,          ky   ,2JHS206
,201,JH-204,38,,89,          ky   ,JH-204
,202,JH-204.6,38,,89,          ky   ,JH-204.6
,203,JHS-208.R45,114,,185,          kyb  ,JHS-208.R45
,204,JHS-208.L45,114,,185,          kyb  ,JHS-208.L45
,205,JH2-204.6,76,,89,          kyb  ,JH2-204.6
,206,JH-208.10,38,,185,          ky   ,JH-208.10
,207,JH-212,38,,286,          ky   ,JH-212
,208,BH2-208,76,,184,           yb  ,BH2-208,,,吊天井根太受金物,,TN-75
,209,BH2-210,76,,235,           yb  ,BH2-210,,,野縁,,36x45
,210,BH2-212,76,,286,           yb  ,BH2-212
,211,BH3-208,114,,184,            b  ,BH3-208
,212,BH3-210,114,,235,           yb  ,BH3-210
,213,BH3-212,114,,286,           yb  ,BH3-212
,214,BHS3-210.R45,114,,235,           yb  ,BHS3-210.R45
,215,BHS3-210.L45,114,,235,           yb  ,BHS3-210.L45
